1011105,Jimmy Woo,15
1009375,Joan the Mouse,0
1009376,Jocasta,74
1011171,John Farson,0
1010812,John Jameson,10
1009500,John Porter,0
1009721,John Wraith,6
1009196,Johnny Blaze,10
1009630,Johnny Storm,27
1009380,Joseph,39
1010938,Joshua Kane,0
1010937,Josiah X,7
1011033,Joystick,5
1009381,Jubilee,295
1010936,Jubilee (Age of Apocalypse),3
1009382,Juggernaut,214
1010772,Jule Carpenter,0
1010679,Julian Keller,6
1011314,Junta,7
1010760,Justice,76
1011310,Justin Hammer,8
1011081,Ka-Zar,164
1011193,Kabuki,11
1009384,Kang,155
1014983,Karen O'Malley,0
1011357,Karen Page,34
1011386,Karma,64
1009385,Karnak,106
1010752,Karolina Dean ,18
1010783,Kat Farrell,11
1010810,Kate Bishop,19
1011250,Katie Power,11
1011319,Ken Ellis,6
1009386,Khan,0
1010893,Kid Colt,16
1011397,Killer Shrike,4
1011289,Killmonger,28
1011116,Killraven,38
1009388,King Bedlam,2
1010842,King Cobra,5
1009389,Kingpin,283
1011308,Kinsey Walden,0
1009508,Kitty Pryde,377
1017476,Kitty Pryde (X-Men: Battle of the Atom),0
1009390,Klaw,58
1010818,Komodo (Melati Kusuma),20
1011147,Korath,5
1011080,Korg,18
1011312,Korvac,16
1013133,Krakoa,32
1009391,Kraven the Hunter,106
1011148,Kree,24
1015017,Krista Starr,0
1011178,Kronos,0
1011029,Kulan Gath,5
1013163,Kwannon,1
1011058,Kylun,0
1009392,La Nuit,2
1011327,Lady Bullseye,33
1009393,Lady Deathstrike,117
1011014,Lady Mastermind,3
1014977,Lady Ursula,0
1014976,Lady Vermin,0
1009394,Lake,0
1009395,Landau,0
1009397,Lava-Man,1
1011100,Layla Miller,42
1009398,Leader,50
1011092,Leech,7
1009399,Legion,103
1011403,"Lei Kung, The Thunderer",7
1009166,Lenny Balinger,0
1011186,Leo (Zodiac),0
1010340,Leopardon,0
1011375,Leper Queen,1
1014988,Lester,0
1011421,Lethal Legion,14
1010977,Lieutenant Marcus Stone,1
1009401,Lifeguard,4
1011408,Lightning Lords of Nepal,1
1010450,Lightspeed,37
1009236,Lila Cheney,9
1009402,Lilandra,114
1011074,Lilith,6
1011257,Lily Hollister,9
1010337,Lionheart,8
1011444,Living Laser,26
1010854,Living Lightning,21
1011036,Living Mummy,11
1011059,Living Tribunal,6
1009403,Liz Osborn,13
1009404,Lizard,94
1010939,Lizard (Ultimate),2
1011414,Loa,6
1009405,Lockheed,67
1009406,Lockjaw,98
1010363,Logan,32
1009407,Loki,495
1017299,Loki (LEGO Marvel Super Heroes),0
1010768,Loners,6
1009408,Longshot,89
1010940,Longshot (Ultimate),4
1011145,Lord Hawal,1
1014980,Lord Tyger,0
1011283,Lords of Avalon,0
1009260,Lorna Dane,8
1009409,Luckman,0
1011405,Lucky Pierre,1
1010751,Lucy in the Sky,0
1009215,Luke Cage,419
1011200,Luminals,0
1017854,Luna Snow (Luna Snow),14
1010896,Lyja,28
1011068,M (Monet St. Croix),58
1011004,M.O.D.A.M.,7
1011320,M.O.D.O.G.,2
1010726,M.O.D.O.K.,54
1017321,M.O.D.O.K. (Iron Man 3 - The Official Game),0
1009418,Ma Gnuci,2
1009314,Mac Gargan,0
1010851,Mach IV,8
1010805,Machine Man,94
1009411,Mad Thinker,35
1009412,Madame Hydra,17
1010352,Madame Masque,41
1010796,Madame Web (Julia Carpenter),11
1010724,Maddog,1
1009509,Madelyne Pryor,36
1011205,Madripoor,1
1009413,Madrox,99
